#Motion tracking data recorded with Pytrak 0.2.0
time,sensor,x,y,z,quality
99,2,112.9605,-53.3549,-268.5604,988.0
99,3,119.8811,-90.1898,-277.7133,2028.0
100,1,118.0951,-60.7219,-268.7836,1268.0
100,2,112.9605,-53.3549,-268.5604,988.0
100,3,119.8811,-90.1898,-277.7133,2028.0
101,1,118.0951,-60.7219,-268.7836,1268.0
101,2,112.9605,-53.3549,-268.5604,988.0
101,3,119.8811,-90.1898,-277.7133,2028.0
103,1,118.0951,-60.7219,-268.7836,1268.0
103,2,112.9605,-53.3549,-268.5604,988.0
103,3,119.8811,-90.1898,-277.7133,2028.0
104,1,118.0951,-60.7219,-268.7836,1268.0
104,2,112.9605,-53.3549,-268.5604,988.0
104,3,119.8811,-90.1898,-277.7133,2028.0
105,1,118.0951,-60.7219,-268.7836,1268.0
105,2,112.9605,-53.3549,-268.5604,988.0
105,3,119.8811,-90.1898,-277.7133,2028.0
107,1,118.0951,-60.7219,-268.7836,1268.0
107,2,112.9605,-53.3549,-268.5604,988.0
107,3,119.8811,-90.1898,-277.7133,2028.0
108,1,118.0951,-60.7219,-268.7836,1268.0
108,2,112.9605,-53.3549,-268.5604,988.0
108,3,119.8811,-90.1898,-277.7133,2028.0
109,1,118.0951,-60.7219,-268.7836,1268.0
109,2,112.9605,-53.3549,-268.5604,988.0
109,3,119.8811,-90.1898,-277.7133,2028.0
111,1,118.0951,-60.7219,-268.7836,1268.0
111,2,112.9605,-53.3549,-268.5604,988.0
111,3,119.8811,-90.1898,-277.7133,2028.0
112,1,118.0951,-60.7219,-268.7836,1268.0
112,2,112.9605,-53.3549,-268.5604,988.0
112,3,119.8811,-90.1898,-277.7133,2028.0
114,1,118.0951,-60.7219,-268.7836,1268.0
114,2,112.9605,-53.3549,-268.5604,988.0
114,3,119.8811,-90.1898,-277.7133,2028.0
115,1,118.0951,-60.7219,-268.7836,1268.0
115,2,112.9605,-53.3549,-268.5604,988.0
115,3,119.8811,-90.1898,-277.7133,2028.0
116,1,118.0951,-60.7219,-268.7836,1268.0
116,2,112.9605,-53.3549,-268.5604,988.0
116,3,119.8811,-90.1898,-277.7133,2028.0
118,1,118.0951,-60.7219,-268.7836,1268.0
118,2,112.9605,-53.3549,-268.5604,988.0
118,3,119.8811,-90.1898,-277.7133,2028.0
119,1,118.0951,-60.7219,-268.7836,1268.0
119,2,112.9605,-53.3549,-268.5604,988.0
119,3,119.8811,-90.1898,-277.7133,2028.0
120,1,118.0951,-60.7219,-268.7836,1268.0
120,2,112.9605,-53.3549,-268.5604,988.0
120,3,119.8811,-90.1898,-277.7133,2028.0
122,1,118.0951,-60.7219,-268.7836,1268.0
122,2,112.9605,-53.3549,-268.5604,988.0
122,3,119.8811,-90.1898,-277.7133,2028.0
123,1,118.0951,-60.7219,-268.7836,1268.0
123,2,112.9605,-53.3549,-268.5604,988.0
123,3,119.8811,-90.1898,-277.7133,2028.0
125,1,118.0951,-60.7219,-268.7836,1268.0
125,2,112.9605,-53.3549,-268.5604,988.0
125,3,119.8811,-90.1898,-277.7133,2028.0
126,1,118.0951,-60.7219,-268.7836,1268.0
126,2,112.9605,-53.3549,-268.5604,988.0
126,3,119.8811,-90.1898,-277.7133,2028.0
127,1,118.0951,-60.7219,-268.7836,1268.0
127,2,112.9605,-53.3549,-268.5604,988.0
127,3,119.8811,-90.1898,-277.7133,2028.0
129,1,118.0951,-60.7219,-268.7836,1268.0
129,2,112.9605,-53.3549,-268.5604,988.0
129,3,119.8811,-90.1898,-277.7133,2028.0
130,1,118.0951,-60.7219,-268.7836,1268.0
130,2,112.9605,-53.3549,-268.5604,988.0
130,3,119.8811,-90.1898,-277.7133,2028.0
133,1,118.0951,-60.7219,-268.7836,1268.0
133,2,112.9605,-53.3549,-268.5604,988.0
133,3,119.8811,-90.1898,-277.7133,2028.0
134,1,118.0951,-60.7219,-268.7836,1268.0
134,2,112.9605,-53.3549,-268.5604,988.0
134,3,119.8811,-90.1898,-277.7133,2028.0
135,1,118.0951,-60.7219,-268.7836,1268.0
135,2,112.9605,-53.3549,-268.5604,988.0
135,3,119.8811,-90.1898,-277.7133,2028.0
137,1,118.0951,-60.7219,-268.7836,1268.0
137,2,112.9605,-53.3549,-268.5604,988.0
137,3,119.8811,-90.1898,-277.7133,2028.0
138,1,118.0951,-60.7219,-268.7836,1268.0
138,2,112.9605,-53.3549,-268.5604,988.0
138,3,119.8811,-90.1898,-277.7133,2028.0
140,1,118.0951,-60.7219,-268.7836,1268.0
140,2,112.9605,-53.3549,-268.5604,988.0
140,3,119.8811,-90.1898,-277.7133,2028.0
141,1,118.0951,-60.7219,-268.7836,1268.0
141,2,112.9605,-53.3549,-268.5604,988.0
141,3,119.8811,-90.1898,-277.7133,2028.0
142,1,118.0951,-60.7219,-268.7836,1268.0
142,2,112.9605,-53.3549,-268.5604,988.0
142,3,119.8811,-90.1898,-277.7133,2028.0
144,1,118.0951,-60.7219,-268.7836,1268.0
144,2,112.9605,-53.1316,-268.5604,988.0
144,3,119.8811,-90.1898,-277.7133,2028.0
145,1,118.0951,-60.7219,-268.7836,1268.0
145,2,112.9605,-53.1316,-268.5604,988.0
145,3,119.8811,-90.1898,-277.7133,2028.0
146,1,118.0951,-60.7219,-268.7836,1268.0
146,2,112.9605,-53.1316,-268.5604,988.0
146,3,119.8811,-90.1898,-277.7133,2028.0
148,1,118.0951,-60.7219,-268.7836,1268.0
148,2,112.9605,-53.1316,-268.5604,988.0
148,3,119.8811,-90.1898,-277.7133,2028.0
149,1,118.0951,-60.7219,-268.7836,1268.0
149,2,112.9605,-53.1316,-268.5604,988.0
149,3,119.8811,-90.1898,-277.7133,2028.0
150,1,118.0951,-60.7219,-268.7836,1268.0
150,2,112.9605,-53.1316,-268.5604,988.0
150,3,119.8811,-90.1898,-277.7133,2028.0
152,1,118.0951,-60.7219,-268.7836,1268.0
152,2,112.9605,-53.1316,-268.5604,988.0
152,3,119.8811,-90.1898,-277.7133,2028.0
153,1,118.0951,-60.7219,-268.7836,1268.0
153,2,112.9605,-53.1316,-268.5604,988.0
153,3,119.8811,-90.1898,-277.7133,2028.0
155,1,118.0951,-60.7219,-268.7836,1268.0
155,2,112.9605,-53.1316,-268.5604,988.0
155,3,119.8811,-90.1898,-277.7133,2028.0
159,1,118.0951,-60.7219,-268.7836,1268.0
159,2,112.9605,-53.1316,-268.5604,988.0
159,3,119.8811,-90.1898,-277.7133,2028.0
160,1,118.0951,-60.7219,-268.7836,1268.0
160,2,112.9605,-53.1316,-268.5604,988.0
160,3,119.8811,-90.1898,-277.7133,2028.0
161,1,118.0951,-60.7219,-268.7836,1268.0
161,2,112.9605,-53.1316,-268.5604,988.0
161,3,119.8811,-90.1898,-277.7133,2028.0
163,1,118.0951,-60.7219,-268.7836,1268.0
163,2,112.9605,-53.1316,-268.5604,988.0
163,3,119.8811,-90.1898,-277.7133,2028.0
164,1,118.0951,-60.7219,-268.7836,1268.0
164,2,112.9605,-53.1316,-268.5604,988.0
164,3,119.8811,-90.1898,-277.7133,2028.0
165,1,118.0951,-60.7219,-268.7836,1268.0
165,2,112.9605,-53.1316,-268.5604,988.0
165,3,119.8811,-90.1898,-277.7133,2028.0
167,1,118.0951,-60.7219,-268.7836,1268.0
167,2,112.9605,-53.1316,-268.5604,988.0
167,3,119.8811,-90.1898,-277.7133,2028.0
168,1,118.0951,-60.7219,-268.7836,1268.0
168,2,112.9605,-53.1316,-268.5604,988.0
168,3,119.8811,-90.1898,-277.7133,2028.0
170,1,118.0951,-60.7219,-268.7836,1268.0
170,2,112.9605,-53.1316,-268.5604,988.0
170,3,119.8811,-90.1898,-277.7133,2028.0
171,1,118.0951,-60.7219,-268.7836,1268.0
171,2,112.9605,-53.1316,-268.5604,988.0
171,3,119.8811,-90.1898,-277.7133,2028.0
172,1,118.0951,-60.7219,-268.7836,1268.0
172,2,112.9605,-53.1316,-268.5604,988.0
172,3,119.8811,-90.1898,-277.7133,2028.0
174,1,118.0951,-60.7219,-268.7836,1268.0
174,2,112.9605,-53.1316,-268.5604,988.0
174,3,119.8811,-90.1898,-277.7133,2028.0
175,1,118.0951,-60.7219,-268.7836,1268.0
175,2,112.9605,-53.1316,-268.5604,988.0
175,3,119.8811,-90.1898,-277.7133,2028.0
176,1,118.0951,-60.7219,-268.7836,1268.0
176,2,112.9605,-53.1316,-268.5604,988.0
176,3,119.8811,-90.1898,-277.7133,2028.0
178,1,118.0951,-60.7219,-268.7836,1268.0
178,2,112.9605,-53.1316,-268.5604,988.0
178,3,119.8811,-90.1898,-277.7133,2028.0
179,1,118.0951,-60.7219,-268.7836,1268.0
179,2,112.9605,-53.1316,-268.5604,988.0
179,3,119.8811,-90.1898,-277.7133,2028.0
180,1,118.0951,-60.7219,-268.7836,1268.0
180,2,112.9605,-53.1316,-268.5604,988.0
180,3,119.8811,-90.1898,-277.7133,2028.0
182,1,118.0951,-60.7219,-268.7836,1268.0
182,2,112.9605,-53.1316,-268.5604,988.0
182,3,119.8811,-90.1898,-277.7133,2028.0
183,1,118.0951,-60.7219,-268.7836,1268.0
183,2,112.9605,-53.1316,-268.5604,988.0
183,3,119.8811,-90.1898,-277.7133,2028.0
185,1,118.0951,-60.7219,-268.7836,1268.0
185,2,112.9605,-53.1316,-268.5604,988.0
185,3,119.8811,-90.1898,-277.7133,2028.0
186,1,118.0951,-60.7219,-268.7836,1268.0
186,2,112.9605,-53.1316,-268.5604,988.0
186,3,119.8811,-90.1898,-277.7133,2028.0
187,1,118.0951,-60.7219,-268.7836,1268.0
187,2,112.9605,-53.1316,-268.5604,988.0
187,3,119.8811,-90.1898,-277.7133,2028.0
190,1,118.0951,-60.7219,-268.7836,1268.0
190,2,112.9605,-53.1316,-268.5604,988.0
190,3,119.8811,-90.1898,-277.7133,2028.0
191,1,118.0951,-60.7219,-268.7836,1268.0
191,2,112.9605,-53.1316,-268.5604,988.0
191,3,119.8811,-90.1898,-277.7133,2028.0
193,1,118.0951,-60.7219,-268.7836,1268.0
193,2,112.9605,-53.1316,-268.5604,988.0
193,3,119.8811,-90.1898,-277.7133,2028.0
194,1,118.0951,-60.7219,-268.7836,1268.0
194,2,112.9605,-53.1316,-268.5604,988.0
194,3,119.8811,-90.1898,-277.7133,2028.0
195,1,118.0951,-60.7219,-268.7836,1268.0
195,2,112.9605,-53.1316,-268.5604,988.0
195,3,119.8811,-90.1898,-277.7133,2028.0
197,1,118.0951,-60.7219,-268.7836,1268.0
197,2,112.9605,-53.1316,-268.5604,988.0
197,3,119.8811,-90.1898,-277.7133,2028.0
198,1,118.0951,-60.7219,-268.7836,1268.0
198,2,112.9605,-53.1316,-268.5604,988.0
198,3,119.8811,-90.1898,-277.7133,2028.0
200,1,118.0951,-60.7219,-268.7836,1268.0
200,2,112.9605,-53.1316,-268.5604,988.0
200,3,119.8811,-90.1898,-277.7133,2028.0
201,1,118.0951,-60.7219,-268.7836,1268.0
201,2,112.9605,-53.1316,-268.5604,988.0
201,3,119.8811,-90.1898,-277.7133,2028.0
202,1,118.0951,-60.7219,-268.7836,1268.0
202,2,112.9605,-53.1316,-268.5604,988.0
202,3,119.8811,-90.1898,-277.7133,2028.0
204,1,118.0951,-60.7219,-268.7836,1268.0
204,2,112.9605,-53.1316,-268.5604,988.0
204,3,119.8811,-90.1898,-277.7133,2028.0
205,1,118.0951,-60.7219,-268.7836,1268.0
205,2,112.9605,-53.1316,-268.5604,988.0
205,3,119.8811,-90.1898,-277.7133,2028.0
206,1,118.0951,-60.7219,-268.7836,1268.0
206,2,112.9605,-53.1316,-268.5604,988.0
206,3,119.8811,-90.1898,-277.7133,2028.0
208,1,118.0951,-60.7219,-268.7836,1268.0
208,2,112.9605,-53.1316,-268.5604,988.0
208,3,119.8811,-90.1898,-277.7133,2028.0
209,1,118.0951,-60.7219,-268.7836,1268.0
209,2,112.9605,-53.1316,-268.5604,988.0
209,3,119.8811,-90.1898,-277.7133,2028.0
210,1,118.0951,-60.7219,-268.7836,1268.0
210,2,112.9605,-53.1316,-268.5604,988.0
210,3,119.8811,-90.1898,-277.7133,2028.0
212,1,118.0951,-60.7219,-268.7836,1268.0
212,2,112.9605,-53.1316,-268.5604,988.0
212,3,119.8811,-90.1898,-277.7133,2028.0
213,1,118.0951,-60.7219,-268.7836,1268.0
213,2,112.9605,-53.1316,-268.5604,988.0
213,3,119.8811,-90.1898,-277.7133,2028.0
215,1,118.0951,-60.7219,-268.7836,1268.0
215,2,112.9605,-53.1316,-268.5604,988.0
215,3,119.8811,-90.1898,-277.7133,2028.0
216,1,118.0951,-60.7219,-268.7836,1268.0
216,2,112.9605,-53.1316,-268.5604,988.0
216,3,119.8811,-90.1898,-277.7133,2028.0
217,1,118.0951,-60.7219,-268.7836,1268.0
217,2,112.9605,-53.1316,-268.5604,988.0
217,3,119.8811,-90.1898,-277.7133,2028.0
219,1,118.0951,-60.7219,-268.7836,1268.0
219,2,112.9605,-53.1316,-268.5604,988.0
219,3,119.8811,-90.1898,-277.7133,2028.0
220,1,118.0951,-60.7219,-268.7836,1268.0
220,2,112.9605,-53.1316,-268.5604,988.0
220,3,119.8811,-90.1898,-277.7133,2028.0
221,1,118.0951,-60.7219,-268.7836,1268.0
221,2,112.9605,-53.1316,-268.5604,988.0
221,3,119.8811,-90.1898,-277.7133,2028.0
223,1,118.0951,-60.7219,-268.7836,1268.0
223,2,112.9605,-53.1316,-268.5604,988.0
223,3,119.8811,-90.1898,-277.7133,2028.0
224,1,118.0951,-60.7219,-268.7836,1268.0
224,2,112.9605,-53.1316,-268.5604,988.0
224,3,119.8811,-90.1898,-277.7133,2028.0
225,1,118.0951,-60.7219,-268.7836,1268.0
225,2,112.9605,-53.1316,-268.5604,988.0
225,3,119.8811,-90.1898,-277.7133,2028.0
227,1,118.0951,-60.7219,-268.7836,1268.0
227,2,112.9605,-53.1316,-268.5604,988.0
227,3,119.8811,-90.1898,-277.7133,2028.0
228,1,118.0951,-60.7219,-268.7836,1268.0
228,2,112.9605,-53.1316,-268.5604,988.0
228,3,119.8811,-90.1898,-277.7133,2028.0
230,1,118.0951,-60.7219,-268.7836,1268.0
230,2,112.9605,-53.1316,-268.5604,988.0
230,3,119.8811,-90.1898,-277.7133,2028.0
231,1,118.0951,-60.7219,-268.7836,1268.0
231,2,112.9605,-53.1316,-268.5604,988.0
231,3,119.8811,-90.1898,-277.7133,2028.0
232,1,118.0951,-60.7219,-268.7836,1268.0
232,2,112.9605,-53.1316,-268.5604,988.0
232,3,119.8811,-90.1898,-277.7133,2028.0
234,1,118.0951,-60.7219,-268.7836,1268.0
234,2,112.9605,-53.1316,-268.5604,988.0
234,3,119.8811,-90.1898,-277.7133,2028.0
235,1,118.0951,-60.7219,-268.7836,1268.0
235,2,112.9605,-53.1316,-268.5604,988.0
235,3,119.8811,-90.1898,-277.7133,2028.0
238,1,118.0951,-60.7219,-268.7836,1268.0
238,2,112.9605,-53.1316,-268.5604,988.0
238,3,119.8811,-90.1898,-277.7133,2028.0
241,1,118.0951,-60.7219,-268.7836,1268.0
241,2,112.9605,-53.1316,-268.5604,988.0
241,3,119.8811,-90.1898,-277.7133,2028.0
242,1,118.0951,-60.7219,-268.7836,1268.0
242,2,112.9605,-53.1316,-268.5604,988.0
242,3,119.8811,-90.1898,-277.7133,2028.0
243,1,118.0951,-60.7219,-268.7836,1268.0
243,2,112.9605,-53.1316,-268.5604,988.0
243,3,119.8811,-90.1898,-277.7133,2028.0
245,1,118.0951,-60.7219,-268.7836,1268.0
245,2,112.9605,-53.1316,-268.5604,988.0
245,3,119.8811,-90.1898,-277.7133,2028.0
246,1,118.0951,-60.7219,-268.7836,1268.0
246,2,112.9605,-53.1316,-268.5604,988.0
246,3,119.8811,-90.1898,-277.7133,2028.0
247,1,118.0951,-60.7219,-268.7836,1268.0
247,2,112.9605,-53.1316,-268.5604,988.0
247,3,119.8811,-90.1898,-277.7133,2028.0
249,1,118.0951,-60.7219,-268.7836,1268.0
249,2,112.9605,-53.1316,-268.5604,988.0
249,3,119.8811,-90.1898,-277.7133,2028.0
250,1,118.0951,-60.7219,-268.7836,1268.0
250,2,112.9605,-53.1316,-268.5604,988.0
250,3,119.8811,-90.1898,-277.7133,2028.0
251,1,118.0951,-60.7219,-268.7836,1268.0
251,2,112.9605,-53.1316,-268.5604,988.0
251,3,119.8811,-90.1898,-277.7133,2028.0
253,1,118.0951,-60.7219,-268.7836,1268.0
253,2,112.9605,-53.1316,-268.5604,988.0
253,3,119.8811,-90.1898,-277.7133,2028.0
254,1,118.0951,-60.7219,-268.7836,1268.0
254,2,112.9605,-53.1316,-268.5604,988.0
254,3,119.8811,-90.1898,-277.7133,2028.0
256,1,118.0951,-60.7219,-268.7836,1268.0
256,2,112.9605,-53.1316,-268.5604,988.0
256,3,119.8811,-90.1898,-277.7133,2028.0
257,1,118.0951,-60.7219,-268.7836,1268.0
257,2,112.9605,-53.1316,-268.5604,988.0
257,3,119.8811,-90.1898,-277.7133,2028.0
260,1,118.0951,-60.7219,-268.7836,1268.0
260,2,112.9605,-53.1316,-268.5604,988.0
260,3,119.8811,-90.1898,-277.7133,2028.0
262,1,118.0951,-60.7219,-268.7836,1268.0
262,2,112.9605,-53.1316,-268.5604,988.0
262,3,119.8811,-90.1898,-277.7133,2028.0
264,1,118.0951,-60.7219,-268.7836,1268.0
264,2,112.9605,-53.1316,-268.5604,988.0
264,3,119.8811,-90.1898,-277.7133,2028.0
265,1,118.0951,-60.7219,-268.7836,1268.0
265,2,112.9605,-53.1316,-268.5604,988.0
265,3,119.8811,-90.1898,-277.7133,2028.0
266,1,118.0951,-60.7219,-268.7836,1268.0
266,2,112.9605,-53.1316,-268.5604,988.0
266,3,119.8811,-90.1898,-277.7133,2028.0
271,1,118.0951,-60.7219,-268.7836,1268.0
271,2,112.9605,-53.1316,-268.5604,988.0
271,3,119.8811,-90.1898,-277.7133,2028.0
272,1,118.0951,-60.7219,-268.7836,1268.0
272,2,112.9605,-53.1316,-268.5604,988.0
272,3,119.8811,-90.1898,-277.7133,2028.0
273,1,118.0951,-60.7219,-268.7836,1268.0
273,2,112.9605,-53.1316,-268.5604,988.0
273,3,119.8811,-90.1898,-277.7133,2028.0
276,1,118.0951,-60.7219,-268.7836,1268.0
276,2,112.9605,-53.1316,-268.5604,988.0
276,3,119.8811,-90.1898,-277.7133,2028.0
277,1,118.0951,-60.7219,-268.7836,1268.0
277,2,112.9605,-53.1316,-268.5604,988.0
277,3,119.8811,-90.1898,-277.7133,2028.0
279,1,118.0951,-60.7219,-268.7836,1268.0
279,2,112.9605,-53.1316,-268.5604,988.0
279,3,119.8811,-90.1898,-277.7133,2028.0
280,1,118.0951,-60.7219,-268.7836,1268.0
280,2,112.9605,-53.1316,-268.5604,988.0
280,3,119.8811,-90.1898,-277.7133,2028.0
281,1,118.0951,-60.7219,-268.7836,1268.0
281,2,112.9605,-53.1316,-268.5604,988.0
281,3,119.8811,-90.1898,-277.7133,2028.0
283,1,118.0951,-60.7219,-268.7836,1268.0
283,2,112.9605,-53.1316,-268.5604,988.0
283,3,119.8811,-90.1898,-277.7133,2028.0
286,1,118.0951,-60.7219,-268.7836,1268.0
286,2,112.9605,-53.1316,-268.5604,988.0
286,3,119.8811,-90.1898,-277.7133,2028.0
288,1,118.0951,-60.7219,-268.7836,1268.0
288,2,112.9605,-53.1316,-268.5604,988.0
